taxon	n	OR	b	se	p	qp	or_eg	p_eg	pleio_p	p_wm	fdr
genus.RuminococcaceaeUCG004.id.11362	11	1.0644140430479172	0.06242445342774834	0.038841891241524165	0.10802311642881114	0.08282137665942489	0.8648185686498204	0.5297234536035494	0.3672789255057251	0.5003152773362206	0.6681724913637144
phylum.Firmicutes.id.1672	17	1.070370925064197	0.06800524733998951	0.04319800079166593	0.11542541334923136	0.030447964186763293	1.031533877215689	0.8111279472339796	0.7616564951222895	0.3314344698015994	0.6681724913637144
phylum.Bacteroidetes.id.905	13	1.061100605582569	0.059306676609306656	0.03833304595889359	0.12182893759955879	0.1459047780831473	1.0089994312183086	0.917890806915938	0.5176382136015156	0.4146716138688178	0.6681724913637144
family.unknownfamily.id.1000001214	9	1.0453094983225175	0.044313012210464506	0.028940428690672357	0.12572485589978183	0.21053317524506499	1.0891798404060187	0.36890798202619896	0.6379181608580035	0.5469549033432566	0.6681724913637144
order.Gastranaerophilales.id.1591	9	1.0453094983225175	0.044313012210464506	0.028940428690672357	0.12572485589978183	0.21053317524506499	1.0891798404060187	0.36890798202619896	0.6379181608580035	0.5589120598224655	0.6681724913637144
genus.unknowngenus.id.1000001215	9	1.0453094983225175	0.044313012210464506	0.028940428690672357	0.12572485589978183	0.21053317524506499	1.0891798404060187	0.36890798202619896	0.6379181608580035	0.5351226865518293	0.6681724913637144
genus.unknowngenus.id.1000006162	13	1.0294343439495772	0.029009470755149494	0.019045377082352037	0.12771455442334906	0.8825799216803967	1.033091492856123	0.5758455786943826	0.9492896460484659	0.118967126497617	0.6681724913637144
order.NB1n.id.3953	13	1.0294343439495772	0.029009470755149494	0.019045377082352037	0.12771455442334906	0.8825799216803967	1.033091492856123	0.5758455786943826	0.9492896460484659	0.11343427324219588	0.6681724913637144
family.unknownfamily.id.1000006161	13	1.0294343439495772	0.029009470755149494	0.019045377082352037	0.12771455442334906	0.8825799216803967	1.033091492856123	0.5758455786943826	0.9492896460484659	0.10773148884935894	0.6681724913637144
genus.Veillonella.id.2198	8	1.05622535854456	0.054701570228534474	0.036227518553325455	0.13105739037136263	0.5889016934706335	0.8896409126650013	0.5792264637122368	0.4166823914277696	0.03868615928989024	0.6681724913637144
family.Porphyromonadaceae.id.943	10	1.0866901503007929	0.08313651718324976	0.05533685250050686	0.13300115941836968	0.11487043584902028	0.983168696084177	0.9418561152360387	0.6582628045101017	0.04810411262017338	0.6681724913637144
genus.Enterorhabdus.id.820	6	0.9544443971697933	-0.046625890871122934	0.03129144704784356	0.13621049976724886	0.3701346926980177	0.9346914724431461	0.4925137182200666	0.8124015469368426	0.5300227519816966	0.6683817546718491
genus.RuminococcaceaeUCG005.id.11363	14	0.9547961303505539	-0.04625743736338538	0.03134562908808355	0.14001851251470482	0.7933424125012922	0.9338923645164752	0.40883185387100923	0.7739199918598685	0.24619862919710722	0.6714524122864254
genus.Dialister.id.2183	11	1.0747971789677484	0.07213197305138958	0.04928046833659333	0.1432750949074326	0.02979240023569802	1.3189985112790075	0.23428805422889817	0.3582703727519852	0.05845701361708437	0.6718010005659617
genus.Bifidobacterium.id.436	15	1.0641073469690492	0.06213627583890284	0.043448158081874334	0.15268128641035433	0.0021871891756561697	1.1575689900627941	0.2505364924325795	0.4709146895258989	0.3805202874684934	0.6924099627596749
genus.Lachnospira.id.2004	6	1.0780702090038305	0.07517259931204713	0.05276247239894741	0.15423349881376647	0.9372646801876601	1.2238216102677784	0.289569769062117	0.4806645216898828	0.24346243307157656	0.6924099627596749
