taxon	committed_n	A_n	B_n	committed_p	A_p	B_p	committed_b	B_b	committed_se	B_se	committed_p_egger	A_p_egger	B_p_egger	committed_q_p	A_q_p	B_q_p	reproduces_A	reproduces_B
class.Melainabacteria.id.1589	10	11	10	0.2967266930631541	0.15313669073364902	0.29672669306315413		-0.05231015224233809		0.050130546896845575	0.0842382259791149	0.0755394472100061	0.08423822597911475	0.5618556253538725	0.5446867078927423	0.5618556253538725	False	True
genus.Prevotella7.id.11182	11	11	11	0.2981816926091983	0.29818169260919825	0.29818169260919825		0.039425582902937		0.037896803490721005	0.974149299846376	0.19717324871799588	0.974149299846376	0.8771527707815365	0.8771527707815365	0.8771527707815365	True	True
phylum.Actinobacteria.id.400	16	19	16	0.2990336798689089	8.088277125973886e-05	0.29903367986890883		0.12071479315332405		0.11623869043209205	0.0334286895696025	0.08135490504001991	0.033428689569602564	7.115112852717307e-05	2.9655802495224713e-07	7.115112852717306e-05	False	True
family.Oxalobacteraceae.id.2966	14	14	14	0.3058711560909692	0.30587097575303257	0.30587097575303257		0.03877243186476261		0.03786649793103912	0.7276860368326474	0.18991850574373076	0.7276864752253404	0.8663093884637447	0.866309496626809	0.866309496626809	True	True
genus.Lachnospira.id.2004	6	6	6	0.3094215608854593	0.21183284416405712	0.30942156088545936		0.1418913281437485		0.1395968414702623	0.7084506692175659	0.3308172827522294	0.708450669217567	0.183206951160831	0.18320695116083088	0.18320695116083088	False	True
class.Alphaproteobacteria.id.2379	8	9	8	0.314886401847385	0.2274491809162119	0.31488640184738503		0.06940700936890369		0.06906020984151046	0.2433178117761683	0.14165460573594024	0.24331781177616857	0.7421963048410785	0.8110915451788065	0.7421963048410786	False	True
genus.Slackia.id.825	6	8	6	0.3172300477484225	0.13620813874918095	0.31723004774842256		0.06872685424813899		0.06871542866977826	0.7227486489664656	0.20209505726325638	0.7227486489664655	0.4123465172741142	0.4429499259742592	0.41234651727411437	False	True
family.Christensenellaceae.id.1866	11	12	11	0.3235965778292493	0.2101305572256903	0.32359657782924933		-0.06126215385813608		0.06206314318112807	0.3810906301581711	0.12305601429337495	0.3810906301581715	0.935840320708721	0.9075117670511159	0.935840320708721	False	True
genus.Prevotella9.id.11183	16	16	16	0.3326288978492758	0.33262889784927585	0.33262889784927585		0.046435350713439696		0.047929196393683496	0.0868919572745785	0.33211933233924146	0.08689195727457859	0.647873714001685	0.647873714001685	0.647873714001685	True	True
family.Clostridiaceae1.id.1869	10	11	10	0.3346195781602139	0.37376141016666564	0.3346195781602139		-0.0773215089789121		0.0801383114479914	0.4283306951154331	0.4072555599377306	0.42833069511543265	0.3236060984399683	0.3731780230659268	0.32360609843996824	False	True
phylum.Proteobacteria.id.2375	12	13	12	0.3362462127682497	0.37923372517894427	0.33624621276824973		0.07203247652112015		0.07490830571491243	0.2274647923313936	0.1712360704041151	0.2274647923313936	0.8716544561235497	0.905194825700133	0.8716544561235497	False	True
genus.LachnospiraceaeNK4A136group.id.11319	15	16	15	0.3364916988074934	0.161993253594916	0.3364916988074934		0.06271557372683964		0.06525257625991877	0.2272116839277387	0.26993747864047185	0.22721168392773897	0.2225655224653178	0.20520997326420368	0.22256552246531774	False	True
genus.Escherichia.Shigella.id.3504	10	12	10	0.3406956844384534	0.34414758240645027	0.34069568443845344		0.07148947044313195		0.07503159390606702	0.6303165879993563	0.21812833556037173	0.6303165879993565	0.959127017712431	0.9770895996719923	0.959127017712431	False	True
genus.Bilophila.id.3170	13	14	13	0.3537630235244993	0.29616923648557825	0.3537630235244992		-0.07386925740960912		0.07965929562006703	0.8401061967760372	0.30628458773515604	0.8401061967760363	0.1638525917343477	0.21163813927096584	0.1638525917343478	False	True
genus.Intestinimonas.id.2062	16	17	16	0.3543429883126912	0.3732452352509057	0.3543429883126913		-0.05758186820436109		0.06217013622292116	0.7709565864232124	0.4269739153097797	0.7709565864232125	0.183680964124943	0.19273959498873314	0.18368096412494295	False	True
genus..Eubacteriumventriosumgroup.id.11341	15	16	15	0.3709220726573821	0.14879697030043804	0.3709220726573821		-0.09714768143600865		0.10857552529218197	0.7315224022962795	0.4002534094883076	0.7315224022962793	0.0003168686837101	0.0005274246438732844	0.00031686868371015	False	True
genus.unknowngenus.id.2041	12	12	12	0.3760956066374858	0.30547520948679585	0.37609560663748587		-0.05404237000204158		0.06105701838600322	0.7831606122692658	0.37050650096230836	0.7831606122692655	0.1944762326238942	0.19447623262389405	0.19447623262389405	False	True
genus..Ruminococcusgnavusgroup.id.14376	11	11	11	0.3858232403137361	0.38582324031373616	0.38582324031373616		-0.04245278858378871		0.04895291378069786	0.3014173193800329	0.3057592191282773	0.30141731938003286	0.4435412001635498	0.44354120016355003	0.44354120016355003	True	True
genus.Holdemanella.id.11393	11	13	11	0.4051190249720142	0.5058757810050514	0.40511902497201424		-0.04300519628659902		0.05165704076069017	0.8116301469233389	0.5235975689068922	0.8116301469233393	0.3356368958311329	0.44115839260748446	0.33563689583113265	False	True
order.Lactobacillales.id.1800	15	17	15	0.405640599396092	0.799632322383192	0.405640599396092		0.05569446223485164		0.06697349039412093	0.2297574723307918	0.7171330968543068	0.22975747233079194	0.826703168504038	0.5017528171704648	0.826703168504038	False	True
family.ClostridialesvadinBB60group.id.11286	15	16	15	0.4079167354456287	0.5084807376925347	0.4079167354456287		0.04327097114316169		0.052287078685480416	0.2837267797931236	0.5085962862341479	0.2837267797931236	0.6784750529754355	0.7040968937916118	0.6784750529754355	False	True
genus.unknowngenus.id.1000000073	15	16	15	0.4079167354456287	0.5084807376925347	0.4079167354456287		0.04327097114316169		0.052287078685480416	0.2837267797931236	0.5085962862341479	0.2837267797931236	0.6784750529754355	0.7040968937916118	0.6784750529754355	False	True
phylum.Lentisphaerae.id.2238	9	10	9	0.4176237693913404	0.15678254200360325	0.4176237693913404		0.06328640237596123		0.07807828259245575	0.9434345718128933	0.11468681455661203	0.9434345718128943	0.0041219763786122	0.007513038205615178	0.0041219763786122495	False	True
phylum.Tenericutes.id.3919	13	13	13	0.4199118316058932	0.4199118316058932	0.4199118316058932		-0.04831119834434091		0.05989677969583583	0.8112099464961692	0.4034588814374233	0.8112099464961696	0.6056469759585543	0.6056469759585541	0.6056469759585541	True	True
class.Mollicutes.id.3920	13	13	13	0.4199118316058932	0.4199118316058932	0.4199118316058932		-0.04831119834434091		0.05989677969583583	0.8112099464961692	0.4034588814374233	0.8112099464961696	0.6056469759585543	0.6056469759585541	0.6056469759585541	True	True
genus.LachnospiraceaeUCG004.id.11324	14	14	14	0.4319303672608775	0.39580104002903715	0.4319303672608775		-0.058455049172313825		0.07438044806481682	0.7359568109324756	0.3410328896706448	0.7359568109324753	0.2964468404993601	0.29644684049936015	0.29644684049936015	False	True
genus.Parabacteroides.id.954	6	6	6	0.4352188796469131	0.4352188796469131	0.4352188796469131		-0.08151015793357982		0.10446106446227806	0.1623813647047858	0.5066051187409714	0.16238136470478542	0.4436923448825005	0.44369234488250053	0.44369234488250053	True	True
